stem	llfpm10	suffix	suffix_initial	back	front	form_varies	log_odds_back
partner	3.170887565855278	Pl	V	13	156807	TRUE	-9.397821671297589
koncert	3.0752510936798796	Acc	V	1	137740	TRUE	-11.83312312909869
partner	3.170887565855278	Poss.3Sg	V	1	122551	TRUE	-11.716282548857688
partner	3.170887565855278	Pl.Poss.1Pl	V	0	114628	FALSE	NA
projekt	3.416526341311925	Acc	V	12	113771	TRUE	-9.15703628537049
koncert	3.0752510936798796	Pl	V	0	94772	FALSE	NA
szoftver	2.8823776554889804	Pl	V	1	93222	TRUE	-11.442739024320057
koncert	3.0752510936798796	Supe	V	4	86590	TRUE	-9.982645253321957
projekt	3.416526341311925	Ine	C	14	80887	TRUE	-8.661751068306339
modell	3.2458076642479075	Poss.3Sg	C	33	76747	TRUE	-7.751762015271127
partner	3.170887565855278	Pl.Poss.3Sg	V	0	71373	FALSE	NA
partner	3.170887565855278	Poss.1Pl	V	27	67818	TRUE	-7.828746059414457
hotel	2.9641042281879626	Ine	C	4069	57356	TRUE	-2.64588018983324
koncert	3.0752510936798796	Poss.3Sg	C	11	56643	TRUE	-8.546628420268272
koncert	3.0752510936798796	Subl	C	18	50442	TRUE	-7.938207682467187
projekt	3.416526341311925	Poss.3Sg	C	3	44663	TRUE	-9.608288408675058
modell	3.2458076642479075	Subl	C	14	38062	TRUE	-7.907914358461714
kábel	2.5255200123429824	Pl	V	48	36121	TRUE	-6.623428681732596
projekt	3.416526341311925	All	C	0	35366	FALSE	NA
modell	3.2458076642479075	Ine	C	10	31805	TRUE	-8.064793696118858
szoftver	2.8823776554889804	Ins	C	6	31320	TRUE	-8.560252680876685
modell	3.2458076642479075	Ins	C	7	30857	TRUE	-8.39120875891533
szovjet	2.59966886920045	Pl	V	3	30054	TRUE	-9.212138753917563
projekt	3.416526341311925	Ins	C	6	29986	TRUE	-8.516726415826794
projekt	3.416526341311925	Dat	C	6	27187	TRUE	-8.418734727629275
panel	2.4164305848960708	Pl	V	1439	26502	TRUE	-2.913271773937214
docens	2.334254917204184	Poss.3Sg	V	5	26336	TRUE	-8.569254191042695
koncert	3.0752510936798796	Ins	C	1	25667	TRUE	-10.152961399096368
partner	3.170887565855278	Ins	C	106	25642	TRUE	-5.488547817000579
hotel	2.9641042281879626	Pl	V	211	25061	TRUE	-4.777209998407688
projekt	3.416526341311925	Subl	C	24	22052	TRUE	-6.823104749361629
kábel	2.5255200123429824	Ins	C	328	21391	TRUE	-4.177711943417662
haver	2.2866022611361054	Pl	V	20730	140	TRUE	4.997694782820521
projekt	3.416526341311925	Ill	C	15	20570	TRUE	-7.223538781544793
modell	3.2458076642479075	Dat	C	15	20485	TRUE	-7.219397988878761
modell	3.2458076642479075	Pl.Poss.3Sg	C	6	19984	TRUE	-8.110927763137305
partner	3.170887565855278	Dat	C	188	19802	TRUE	-4.657096258852511
projekt	3.416526341311925	Del	C	32	18990	TRUE	-6.385931901006605
haver	2.2866022611361054	Poss.1Sg	V	18757	15	TRUE	7.131272093958131
sláger	2.2587678514546465	Pl	V	3	18632	TRUE	-8.734023522896067
projekt	3.416526341311925	Supe	V	0	18241	FALSE	NA
kábel	2.5255200123429824	Supe	V	55	16753	TRUE	-5.718999440461062
modell	3.2458076642479075	All	C	1	16519	TRUE	-9.712266512555141
sláger	2.2587678514546465	Poss.3Sg	V	0	15482	FALSE	NA
partner	3.170887565855278	Poss.2Sg	V	8	15409	TRUE	-7.563265491602017
panel	2.4164305848960708	Supe	V	1837	14549	TRUE	-2.069388456500263
projekt	3.416526341311925	Poss.1Pl	V	36	14510	TRUE	-5.999074407422124
drukker	1.599349006057054	Pl	V	9	14408	TRUE	-7.378314309519572
szoftver	2.8823776554889804	Poss.3Sg	V	0	13437	FALSE	NA
klaszter	1.9252273729939529	Pl	V	5	13231	TRUE	-7.88087992760831
hotel	2.9641042281879626	Abl	C	163	12626	TRUE	-4.3497632581208086
modell	3.2458076642479075	Supe	V	1	12423	TRUE	-9.427304872213677
koncert	3.0752510936798796	Del	C	4	12315	TRUE	-8.032278949434748
partner	3.170887565855278	Subl	C	53	11508	TRUE	-5.380505811119317
szlogen	1.9318761017045023	Poss.3Sg	C	8	11442	TRUE	-7.265604533148638
modell	3.2458076642479075	Ade	C	2	11136	TRUE	-8.624791202014256
partner	3.170887565855278	Poss.1Sg	V	15	10686	TRUE	-6.568639551415506
hotel	2.9641042281879626	Ill	C	1640	10613	TRUE	-1.8673834229435784
dzsungel	1.8138983008598983	Ine	C	258	10604	TRUE	-3.716026982487299
haver	2.2866022611361054	Poss.3Sg	C	10264	15	TRUE	6.528347705193262
projekt	3.416526341311925	Pl.Poss.3Sg	C	1	10123	TRUE	-9.222565341598752
partner	3.170887565855278	Pl.Poss.3Pl	V	0	10033	FALSE	NA
koncert	3.0752510936798796	Pl.Poss.3Sg	C	0	9959	FALSE	NA
hardver	2.192226286470405	Pl	V	0	9579	FALSE	NA
modell	3.2458076642479075	Del	C	23	9534	TRUE	-6.027125419835621
kódex	2.156884917051594	Acc	V	0	9405	FALSE	NA
modell	3.2458076642479075	Ela	C	27	9391	TRUE	-5.851670196800285
szoftver	2.8823776554889804	Ine	C	4	9343	TRUE	-7.756088317673065
partner	3.170887565855278	Poss.3Pl	V	15	8899	TRUE	-6.385643988754652
szlogen	1.9318761017045023	Ins	C	6	8867	TRUE	-7.298332330151952
modell	3.2458076642479075	Abl	C	4	8658	TRUE	-7.679944666882036
farmer	1.984242209298364	Pl	V	518	8498	TRUE	-2.797610878415274
kódex	2.156884917051594	Poss.3Sg	V	0	8313	FALSE	NA
fotel	1.918034842594317	Ine	C	4069	8185	TRUE	-0.6989059418035454
poszter	1.7624880360068378	Pl	V	2	7755	TRUE	-8.262945895050693
koncert	3.0752510936798796	Poss.3Pl	C	15	7556	TRUE	-6.22204702751919
kódex	2.156884917051594	Pl	V	0	7515	FALSE	NA
transzfer	2.0095093061978013	Pl	V	0	7380	FALSE	NA
koncert	3.0752510936798796	Dat	C	0	7345	FALSE	NA
modem	1.8046211752050836	Acc	V	20	7322	TRUE	-5.902906520126191
konzerv	1.762724386751122	Acc	V	44	7286	TRUE	-5.109520343650248
hardver	2.192226286470405	Ins	C	18	7060	TRUE	-5.971828572591123
szoftver	2.8823776554889804	Subl	C	2	7037	TRUE	-8.165790041406604
sláger	2.2587678514546465	Pl.Poss.3Sg	V	0	6696	FALSE	NA
kódex	2.156884917051594	Subl	C	4	6680	TRUE	-7.4205789054108005
projekt	3.416526341311925	Ela	C	24	6655	TRUE	-5.625069900481266
skanzen	1.4895721276614022	Ine	C	563	6571	TRUE	-2.4571416787581777
mágnes	1.8441518280462148	Pl	V	0	6461	FALSE	NA
szoftver	2.8823776554889804	Dat	C	4	6458	TRUE	-7.38678059019833
matek	1.7446768078145567	Ela	C	6346	104	TRUE	4.111189073001768
modell	3.2458076642479075	Ill	C	4	6342	TRUE	-7.368655093978402
kódex	2.156884917051594	Ine	C	4	6296	TRUE	-7.3613754289773485
hotel	2.9641042281879626	Dat	C	210	6212	TRUE	-3.3871306535511088
modell	3.2458076642479075	Poss.1Pl	V	34	6148	TRUE	-5.197521580042325
hotel	2.9641042281879626	Supe	V	13	6010	TRUE	-6.136230670067716
pollen	1.5346232211256754	Pl	V	1	5956	TRUE	-8.6921543938039
koncert	3.0752510936798796	Poss.1Pl	V	10	5800	TRUE	-6.363028103540465
makett	1.6926464808727033	Pl	V	22	5769	TRUE	-5.569211580898574
matek	1.7446768078145567	Acc	V	5639	8	TRUE	6.558020482127346
projekt	3.416526341311925	Poss.3Pl	C	10	5563	TRUE	-6.321307717081248
szoftver	2.8823776554889804	All	C	1	5431	TRUE	-8.599878558034845
fotel	1.918034842594317	Pl	V	754	5282	TRUE	-1.9466677248491213
parkett	1.1773690982060443	Supe	V	47	4988	TRUE	-4.664642705089869
mágnes	1.8441518280462148	Ins	C	3	4948	TRUE	-7.408126444844269
konzerv	1.762724386751122	Pl	V	1	4946	TRUE	-8.506334448081361
kábel	2.5255200123429824	Subl	C	93	4931	TRUE	-3.97069759307087
rocker	1.3774960070047173	Pl	V	1	4881	TRUE	-8.493105395887147
panel	2.4164305848960708	Ins	C	689	4872	TRUE	-1.9560185383760744
panel	2.4164305848960708	Ine	C	4832	4651	TRUE	0.03817821039055378
ágens	1.3130456667326265	Pl	V	1	4776	TRUE	-8.471358655072438
haver	2.2866022611361054	Pl.Poss.3Sg	C	4757	4	TRUE	7.081078135312391
balett	2.009241501756081	Acc	V	604	4587	TRUE	-2.027407296662357
bróker	1.509573270037965	Pl	V	7	4556	TRUE	-6.478290175511759
fotel	1.918034842594317	Ela	C	2056	4503	TRUE	-0.7839814937265159
duett	1.4809516014593376	Acc	V	6	4361	TRUE	-6.588697198614711
projekt	3.416526341311925	Pl.Poss.1Pl	C	0	4273	FALSE	NA
makett	1.6926464808727033	Acc	V	68	4245	TRUE	-4.133989393569341
modem	1.8046211752050836	Ins	C	4	4136	TRUE	-6.9411900550683745
hotel	2.9641042281879626	All	C	172	4036	TRUE	-3.1555149046600466
szlogen	1.9318761017045023	Pl	V	3	3920	TRUE	-7.175234644116399
saller	0.9310512982678172	Pl	V	0	3801	FALSE	NA
haver	2.2866022611361054	Poss.2Sg	V	3724	5	TRUE	6.6131157259628575
szoftver	2.8823776554889804	Supe	V	1	3677	TRUE	-8.209852481301272
projekt	3.416526341311925	Poss.1Sg	V	1	3669	TRUE	-8.207674424355282
plakett	1.2063588716944174	Acc	V	18	3607	TRUE	-5.300259923007374
partner	3.170887565855278	Abl	C	10	3557	TRUE	-5.874087678954409
kábel	2.5255200123429824	Poss.3Sg	V	0	3524	FALSE	NA
hotel	2.9641042281879626	Poss.1Pl	V	177	3506	TRUE	-2.9860813329073506
haver	2.2866022611361054	Ins	C	3488	77	TRUE	3.8132783631751863
kráter	1.5554389092659462	Pl	V	0	3487	FALSE	NA
hotel	2.9641042281879626	Ins	C	243	3469	TRUE	-2.658560203629201
projekt	3.416526341311925	Ade	C	2	3466	TRUE	-7.457609289715606
partner	3.170887565855278	Ade	C	8	3441	TRUE	-6.064075864117644
farmer	1.984242209298364	Ine	C	2327	3390	TRUE	-0.3762500370722041
hotel	2.9641042281879626	Ela	C	334	3348	TRUE	-2.304977438632666
modell	3.2458076642479075	Poss.3Pl	C	45	3304	TRUE	-4.296226644870549
haver	2.2866022611361054	Dat	C	3259	161	TRUE	3.0077713138530986
fotel	1.918034842594317	Ill	C	3232	3212	TRUE	0.006207344574333731
partner	3.170887565855278	All	C	4	3139	TRUE	-6.665365195722063
szoftver	2.8823776554889804	Pl.Poss.3Sg	V	0	3078	FALSE	NA
parkett	1.1773690982060443	Subl	C	209	3069	TRUE	-2.686772802654925
szoftver	2.8823776554889804	Ill	C	0	3056	FALSE	NA
dzsungel	1.8138983008598983	Ill	C	136	3050	TRUE	-3.1102419838654054
panel	2.4164305848960708	Subl	C	994	2955	TRUE	-1.0895167231836245
szoftver	2.8823776554889804	Del	C	0	2946	FALSE	NA
transzfer	2.0095093061978013	Ins	C	8	2907	TRUE	-5.89543535887904
hardver	2.192226286470405	Supe	V	6	2904	TRUE	-6.182084906716631
hardver	2.192226286470405	Poss.3Sg	V	0	2903	FALSE	NA
hardver	2.192226286470405	Subl	C	8	2883	TRUE	-5.887145155958566
dojen	0.6993711617811154	Poss.3Sg	C	8	2866	TRUE	-5.881231066708281
kartell	1.1924313135247973	Pl	V	3	2845	TRUE	-6.854706057892321
szoftver	2.8823776554889804	Ela	C	6	2738	TRUE	-6.12322353662034
balek	1.18302479496678	Pl	V	2710	0	FALSE	NA
káder	1.0191292004490349	Pl	V	5	2680	TRUE	-6.284134161070802
projekt	3.416526341311925	Pl.Poss.3Pl	C	0	2676	FALSE	NA
szoftver	2.8823776554889804	Poss.1Pl	V	15	2671	TRUE	-5.182158012007751
makett	1.6926464808727033	Poss.3Sg	C	103	2661	TRUE	-3.2517282827480534
koncert	3.0752510936798796	Pl.Poss.3Pl	C	0	2638	FALSE	NA
partner	3.170887565855278	Transl	C	2	2599	TRUE	-7.169734854081545
modell	3.2458076642479075	Pl.Poss.1Pl	C	0	2585	FALSE	NA
koncert	3.0752510936798796	All	C	0	2541	FALSE	NA
koncert	3.0752510936798796	Ela	C	3	2490	TRUE	-6.721425700790643
bunker	1.476796124675244	Pl	V	46	2435	TRUE	-3.969060639027595
partner	3.170887565855278	Pl.Poss.1Sg	V	0	2422	FALSE	NA
modell	3.2458076642479075	Transl	C	1	2413	TRUE	-7.7886260656250315
sláger	2.2587678514546465	Ins	C	5	2395	TRUE	-6.171700597410915
láger	1.242439945332364	Ine	C	274	2375	TRUE	-2.1596246100806713
modem	1.8046211752050836	Pl	V	2	2373	TRUE	-7.078763075875818
kódex	2.156884917051594	Dat	C	1	2348	TRUE	-7.761319180947987
token	1.245905770590949	Pl	V	0	2333	FALSE	NA
bunker	1.476796124675244	Ine	C	497	2292	TRUE	-1.5285900517380013
farmer	1.984242209298364	Ins	C	1236	2292	TRUE	-0.6175444398169941
duett	1.4809516014593376	Ine	C	12	2190	TRUE	-5.206750173022546
projekt	3.416526341311925	Distr:nként/Adv	V	0	2180	FALSE	NA
panel	2.4164305848960708	Ela	C	622	2177	TRUE	-1.252762968495368
szlogen	1.9318761017045023	Poss.1Pl	V	0	2026	FALSE	NA
haver	2.2866022611361054	Pl.Poss.1Sg	C	2007	0	FALSE	NA
omlett	0.9301594617947097	Acc	V	3	1999	TRUE	-6.501790045832291
roller	1.4284785179087636	Ins	C	249	1993	TRUE	-2.079943423748087
bukfenc	1.0306613020268856	Acc	V	1	1983	TRUE	-7.592366128519796
bagett	1.0062847018807737	Acc	V	9	1981	TRUE	-5.394132469362331
drukker	1.599349006057054	Pl.Poss.3Sg	V	0	1973	FALSE	NA
sláger	2.2587678514546465	Transl	C	6	1964	TRUE	-5.790979019686357
duett	1.4809516014593376	Poss.3Sg	C	1	1945	TRUE	-7.573017256052546
panel	2.4164305848960708	Poss.3Sg	C	649	1915	TRUE	-1.0820401849106565
azbeszt	1.051092149444873	Acc	V	21	1884	TRUE	-4.496630017412885
púder	1.360068138969874	Ins	C	92	1879	TRUE	-3.016706422364425
kábel	2.5255200123429824	Dat	C	16	1840	TRUE	-4.74493212836325
sláger	2.2587678514546465	Dat	C	8	1835	TRUE	-5.435358218808835
matek	1.7446768078145567	Ins	C	1819	59	TRUE	3.4285047346124027
bankett	1.09656121596579	Supe	V	0	1811	FALSE	NA
roller	1.4284785179087636	Pl	V	16	1807	TRUE	-4.726834568352447
szoftver	2.8823776554889804	Abl	C	0	1799	FALSE	NA
poszter	1.7624880360068378	Supe	V	5	1792	TRUE	-5.881649681100775
láger	1.242439945332364	Pl	V	2	1781	TRUE	-6.791783102729716
fater	1.2643232470451446	Poss.1Sg	V	1774	0	FALSE	NA
konszern	1.5587549012315391	Pl	V	0	1764	FALSE	NA
projekt	3.416526341311925	Abl	C	3	1764	TRUE	-6.376726947898627
kolesz	0.7726222789466473	Ine	C	1733	173	TRUE	2.304317695217827
panel	2.4164305848960708	Del	C	232	1732	TRUE	-2.0102947174560706
modell	3.2458076642479075	Poss.1Sg	V	0	1731	FALSE	NA
balett	2.009241501756081	Ins	C	244	1707	TRUE	-1.9453244975012387
pollen	1.5346232211256754	Poss.3Sg	C	1	1682	TRUE	-7.427738840532894
koncert	3.0752510936798796	Poss.1Sg	V	1	1645	TRUE	-7.405495663199472
kókler	0.9301594617947097	Pl	V	7	1623	TRUE	-5.446121418459278
koncert	3.0752510936798796	Pl.Poss.1Pl	C	0	1605	FALSE	NA
póker	1.4147938326074063	Ine	C	43	1582	TRUE	-3.605245032634037
hardver	2.192226286470405	All	C	0	1564	FALSE	NA
charter	1.0574427740273058	Poss.2Sg	V	0	1563	FALSE	NA
hotel	2.9641042281879626	Del	C	87	1525	TRUE	-2.863841570386928
sláger	2.2587678514546465	Poss.3Pl	V	1	1521	TRUE	-7.327123292259293
notesz	1.2106855490122028	Pl	V	41	1518	TRUE	-3.6115768912512674
hotel	2.9641042281879626	Ade	C	65	1487	TRUE	-3.1301286765645178
modem	1.8046211752050836	Supe	V	2	1478	TRUE	-6.6052979209482015
kábel	2.5255200123429824	Ade	C	8	1475	TRUE	-5.2169717270940845
poszter	1.7624880360068378	Ins	C	7	1471	TRUE	-5.3477875715461245
hardver	2.192226286470405	Dat	C	3	1438	TRUE	-6.172396249612882
partner	3.170887565855278	Del	C	3	1433	TRUE	-6.168913139160062
motel	1.2119005338291844	Ine	C	367	1420	TRUE	-1.353050302540736
klaszter	1.9252273729939529	Ill	C	30	1417	TRUE	-3.855099858028525
projekt	3.416526341311925	Poss.2Sg	V	0	1413	FALSE	NA
fater	1.2643232470451446	Poss.3Sg	C	1411	3	TRUE	6.153441663184704
láger	1.242439945332364	Ill	C	228	1397	TRUE	-1.812736730302521
panel	2.4164305848960708	Ill	C	1393	1112	TRUE	0.2252994989692781
panel	2.4164305848960708	Dat	C	236	1375	TRUE	-1.7623772050750615
klaszter	1.9252273729939529	Ine	C	17	1359	TRUE	-4.381291070094927
modell	3.2458076642479075	Pl.Poss.3Pl	C	0	1326	FALSE	NA
hotel	2.9641042281879626	Subl	C	102	1314	TRUE	-2.555858385760285
bankett	1.09656121596579	Pl	V	0	1312	FALSE	NA
panel	2.4164305848960708	All	C	226	1309	TRUE	-1.756483766637614
kódex	2.156884917051594	All	C	0	1300	FALSE	NA
docens	2.334254917204184	Pl	V	0	1297	FALSE	NA
hardver	2.192226286470405	Ine	C	9	1295	TRUE	-4.969041396797419
szonett	1.1139782696654663	Pl	V	0	1293	FALSE	NA
zsáner	1.2899655745630536	Ine	C	9	1267	TRUE	-4.9471826029849195
kráter	1.5554389092659462	Ine	C	19	1259	TRUE	-4.193634054877907
nonszensz	1.2858393542194446	Dat	C	1	1248	TRUE	-7.129297548929373
szonett	1.1139782696654663	Acc	V	4	1247	TRUE	-5.742201584560146
modell	3.2458076642479075	Poss.2Sg	V	0	1241	FALSE	NA
konzerv	1.762724386751122	Ela	C	3	1237	TRUE	-6.021832083724378
szoftver	2.8823776554889804	Pl.Poss.1Pl	V	0	1227	FALSE	NA
poszter	1.7624880360068378	Poss.3Sg	V	0	1200	FALSE	NA
makett	1.6926464808727033	Supe	V	11	1185	TRUE	-4.679602780770861
kábel	2.5255200123429824	All	C	16	1161	TRUE	-4.28444825945811
plakett	1.2063588716944174	Pl	V	7	1161	TRUE	-5.1111268326425785
kábel	2.5255200123429824	Pl.Poss.3Sg	V	1	1153	TRUE	-7.050122520269059
kódex	2.156884917051594	Ins	C	1	1145	TRUE	-7.04315991598834
rulett	1.0008565784407637	Acc	V	5	1140	TRUE	-5.429345628954441
duett	1.4809516014593376	Pl	V	0	1135	FALSE	NA
modell	3.2458076642479075	Distr:nként/Adv	V	0	1108	FALSE	NA
koncert	3.0752510936798796	Ill	C	0	1085	FALSE	NA
kódex	2.156884917051594	Del	C	3	1077	TRUE	-5.883322388488279
skanzen	1.4895721276614022	Ill	C	181	1043	TRUE	-1.7513594237349466
balett	2.009241501756081	Poss.3Sg	C	80	1041	TRUE	-2.565910433941087
dzsungel	1.8138983008598983	Supe	V	3	1037	TRUE	-5.8454749195614175
haver	2.2866022611361054	Poss.1Pl	V	1031	13	TRUE	4.373335126555423
projekt	3.416526341311925	Transl	C	0	1023	FALSE	NA
farmer	1.984242209298364	Ela	C	485	1021	TRUE	-0.7443889272271823
kábel	2.5255200123429824	Ine	C	16	1021	TRUE	-4.155949095924885
mágnes	1.8441518280462148	Poss.3Sg	V	0	1017	FALSE	NA
konszern	1.5587549012315391	All	C	0	1015	FALSE	NA
dzsungel	1.8138983008598983	Pl	V	1	1010	TRUE	-6.917705609835305
sláger	2.2587678514546465	Subl	C	0	1009	FALSE	NA
partner	3.170887565855278	Ine	C	5	1008	TRUE	-5.306285536197214
modem	1.8046211752050836	Poss.1Sg	V	2	1005	TRUE	-6.219595639933231
balett	2.009241501756081	Ine	C	254	984	TRUE	-1.3542916300337169
poszter	1.7624880360068378	Subl	C	6	979	TRUE	-5.094772173302456
bunker	1.476796124675244	Ill	C	336	978	TRUE	-1.0683985100716131
mágnes	1.8441518280462148	Dat	C	4	966	TRUE	-5.486869473092628
kábel	2.5255200123429824	Poss.1Sg	V	8	955	TRUE	-4.782269798800894
kódex	2.156884917051594	Ill	C	0	955	FALSE	NA
rubel	1.3648850069419438	Ine	C	33	946	TRUE	-3.3557350075853982
rubel	1.3648850069419438	Subl	C	20	937	TRUE	-3.846951008684431
zsáner	1.2899655745630536	Pl	V	0	937	FALSE	NA
konszern	1.5587549012315391	Supe	V	0	930	FALSE	NA
balek	1.18302479496678	Acc	V	924	9	TRUE	4.631487494305465
kábel	2.5255200123429824	Del	C	19	919	TRUE	-3.8788471431892466
modem	1.8046211752050836	All	C	6	919	TRUE	-5.031526653127632
moped	0.9109327535484344	Pl	V	0	918	FALSE	NA
hotel	2.9641042281879626	Poss.3Sg	C	88	909	TRUE	-2.3350082796992724
púder	1.360068138969874	Pl	V	3	909	TRUE	-5.713732805509369
farmer	1.984242209298364	All	C	240	900	TRUE	-1.3217558399823195
dzsungel	1.8138983008598983	Ela	C	41	896	TRUE	-3.084368346270623
konzerv	1.762724386751122	Ine	C	2	894	TRUE	-6.102558594613569
plakett	1.2063588716944174	Ins	C	11	893	TRUE	-4.396691308078129
szoftver	2.8823776554889804	Pl.Poss.3Pl	V	0	893	FALSE	NA
balett	2.009241501756081	Pl	V	18	891	TRUE	-3.9019726695746444
docens	2.334254917204184	Dat	C	0	888	FALSE	NA
rocker	1.3774960070047173	Dat	C	7	886	TRUE	-4.840806801549768
szlogen	1.9318761017045023	Poss.3Pl	C	6	884	TRUE	-4.992697593409589
azbeszt	1.051092149444873	Ins	C	6	880	TRUE	-4.988162438244197
konzerv	1.762724386751122	Ins	C	2	876	TRUE	-6.082218910376446
puffer	1.3898337365494366	Pl	V	5	873	TRUE	-5.162497643405502
balett	2.009241501756081	Dat	C	117	872	TRUE	-2.0086154891112233
kódex	2.156884917051594	Poss.1Pl	V	0	868	FALSE	NA
balek	1.18302479496678	Dat	C	860	143	TRUE	1.7940877589876463
puffer	1.3898337365494366	Ine	C	58	860	TRUE	-2.696489378701134
kráter	1.5554389092659462	Poss.3Sg	V	0	855	FALSE	NA
kábel	2.5255200123429824	Ela	C	5	848	TRUE	-5.133442723357803
haver	2.2866022611361054	Ade	C	844	26	TRUE	3.480055956574475
szlogen	1.9318761017045023	Dat	C	0	844	FALSE	NA
kódex	2.156884917051594	Ela	C	4	832	TRUE	-5.337538079701318
modem	1.8046211752050836	Ine	C	0	829	FALSE	NA
szoftver	2.8823776554889804	Poss.3Pl	V	9	808	TRUE	-4.497337481184876
bagett	1.0062847018807737	Ins	C	0	807	FALSE	NA
fotel	1.918034842594317	Ins	C	274	807	TRUE	-1.0801955618818786
totem	0.8624780099324221	Acc	V	0	807	FALSE	NA
parkett	1.1773690982060443	Acc	V	42	806	TRUE	-2.95441412422326
bróker	1.509573270037965	Ade	C	5	803	TRUE	-5.078916801512661
sláger	2.2587678514546465	Pl.Poss.3Pl	V	0	795	FALSE	NA
bankett	1.09656121596579	Acc	V	10	790	TRUE	-4.3694478524670215
latex	1.2796554290768758	Acc	V	4	790	TRUE	-5.285738584341177
póker	1.4147938326074063	Ins	C	6	790	TRUE	-4.880273476233012
transzfer	2.0095093061978013	Subl	C	16	790	TRUE	-3.899444223221286
moped	0.9109327535484344	Acc	V	2	785	TRUE	-5.972536537222463
pasztell	1.4163120740957438	Pl	V	0	784	FALSE	NA
panel	2.4164305848960708	Pl.Poss.3Sg	C	134	783	TRUE	-1.7652928960398917
konszern	1.5587549012315391	Dat	C	0	774	FALSE	NA
pollen	1.5346232211256754	Subl	C	1	763	TRUE	-6.637258031284457
klaszter	1.9252273729939529	Dat	C	14	756	TRUE	-3.9889840465642745
matek	1.7446768078145567	Subl	C	755	18	TRUE	3.73634599135286
matek	1.7446768078145567	All	C	753	23	TRUE	3.488571011870744
motel	1.2119005338291844	Pl	V	18	752	TRUE	-3.732364566053675
zsáner	1.2899655745630536	Poss.3Sg	V	0	745	FALSE	NA
latex	1.2796554290768758	Ela	C	39	737	TRUE	-2.93902624605969
partner	3.170887565855278	Supe	V	3	720	TRUE	-5.480638923341991
bróker	1.509573270037965	Dat	C	6	719	TRUE	-4.786101888492992
bukfenc	1.0306613020268856	Pl	V	0	718	FALSE	NA
fater	1.2643232470451446	Dat	C	718	80	TRUE	2.1944429343743423
szlogen	1.9318761017045023	Subl	C	0	715	FALSE	NA
koffer	0.9596105383709403	Ine	C	191	714	TRUE	-1.3186095342929545
modem	1.8046211752050836	Subl	C	1	711	TRUE	-6.566672429803241
sumer	1.0545026216751352	Pl	V	711	386	TRUE	0.6108350603384101
makett	1.6926464808727033	Pl.Poss.3Sg	C	5	705	TRUE	-4.948759890378168
hosztesz	0.4593602709032462	Pl	V	0	702	FALSE	NA
koncert	3.0752510936798796	Ine	C	0	702	FALSE	NA
dzsungel	1.8138983008598983	Dat	C	21	701	TRUE	-3.507985449311167
hardver	2.192226286470405	Del	C	4	701	TRUE	-5.166213525914699
ómen	0.7761153970932089	Dat	C	2	681	TRUE	-5.8304151255895675
matek	1.7446768078145567	Ine	C	672	18	TRUE	3.619886582626985
hardver	2.192226286470405	Ela	C	3	668	TRUE	-5.405675884868536
bunker	1.476796124675244	Ela	C	116	667	TRUE	-1.749199854809259
notesz	1.2106855490122028	Poss.3Sg	V	94	667	TRUE	-1.9594952636456198
partner	3.170887565855278	Distr:nként/Adv	V	0	667	FALSE	NA
mater	1.2873847479934366	Poss.3Sg	V	0	666	FALSE	NA
